city_id,city_name,country,latitude,longitude,weather_date,temp,humidity,cloudiness,wind_speed
2119283,Zyryanka,RU,65.75,150.85,11/05/20,            -0.58,91,100,28.01
4989133,Charter Township of Clinton,US,42.59,-82.92,11/05/20,            64.06,52,75,11.41
2160735,Lakes Entrance,AU,-37.88,147.98,11/05/20,            43,93,4,8.43
3451138,Rio Grande,BR,-32.03,-52.1,11/05/20,            71.1,53,75,17.22
3157549,Finnsnes,NO,69.23,17.98,11/05/20,            37.04,86,75,19.46
479198,Ulu-Telyak,RU,54.91,56.97,11/05/20,            42.3,95,100,5.68
4328010,Houma,US,29.6,-90.72,11/05/20,            75.83,60,1,8.05
4012593,Creel,MX,27.75,-107.63,11/05/20,            65.68,27,91,20.31
609919,Quryq,KZ,43.2,51.65,11/05/20,            55.49,38,0,14.43
3374210,São Filipe,CV,14.9,-24.5,11/05/20,            77.45,74,23,3.42
2122493,Omsukchan,RU,62.53,155.8,11/05/20,            -15.57,83,100,5.1
2035601,Mergen,CN,49.18,125.22,11/05/20,            25.86,98,100,4.12
1529376,Korla,CN,41.76,86.15,11/05/20,            36.61,69,0,1.07
1510689,Baykit,RU,61.67,96.37,11/05/20,            1.2,88,44,5.44
2027296,Aykhal,RU,66,111.5,11/05/20,            -7.8,89,100,10.76
644499,Nivala,FI,63.92,24.97,11/05/20,            39,83,0,5.99
2181625,Te Anau,NZ,-45.42,167.72,11/05/20,            45.23,88,100,3.51
4672989,Beaumont,US,30.09,-94.1,11/05/20,            76.03,50,1,6.93
779554,Honningsvåg,NO,70.98,25.97,11/05/20,            41,80,75,16.11
1058381,Morondava,MG,-20.28,44.28,11/05/20,            78.01,77,95,10.56
2063042,Port Hedland,AU,-20.32,118.57,11/05/20,            77,69,0,8.05
8079926,Labuhan,ID,-6.88,112.21,11/05/20,            79.92,80,100,7.16
555111,Ivanteyevka,RU,55.97,37.92,11/05/20,            42.87,75,75,17.9
557588,Idritsa,RU,56.33,28.9,11/05/20,            46.78,82,100,12.71
2303224,Bekwai,GH,6.45,-1.58,11/05/20,            79.23,73,99,2.15
1082243,Ambilobe,MG,-13.2,49.05,11/05/20,            74.59,82,1,3.04
2088122,Port Moresby,PG,-9.44,147.18,11/05/20,            77,94,75,5.82
1808931,Hangu,CN,39.25,117.79,11/05/20,            49.91,58,62,2.24
